,name,description,category,img_urls
4945,Mono july,Mono largo tirantes,vestidos y monos,https://st.mngbcn.com/rcs/pics/static/T3/fotos/outfit/S20/37093835_43-99999999_01.jpg?ts=1656679863972
4946,Camiseta lilo,Camiseta manga larga canalé,camisetas y tops,https://st.mngbcn.com/rcs/pics/static/T3/fotos/S20/37035910_69_D2.jpg?ts=1659096772557
4947,Camiseta lilo,Camiseta manga larga canalé,camisetas y tops,https://st.mngbcn.com/rcs/pics/static/T3/fotos/outfit/S20/37035910_07-99999999_01.jpg?ts=1655365901990
4948,Camiseta lilo,Camiseta manga larga canalé,camisetas y tops,https://st.mngbcn.com/rcs/pics/static/T3/fotos/S20/37035910_99_D2.jpg?ts=1656317357564
4949,Camiseta lilo,Camiseta manga larga canalé,camisetas y tops,https://st.mngbcn.com/rcs/pics/static/T3/fotos/S20/37035910_02_D2.jpg?ts=1656677757718
4952,Jeans rodeo,Jeans rectos cordón,vaqueros,https://st.mngbcn.com/rcs/pics/static/T3/fotos/outfit/S20/37044396_05-99999999_01.jpg?ts=1657638784701
4953,Pantalon duo,Pantalón recto traje,pantalones,https://st.mngbcn.com/rcs/pics/static/T3/fotos/S20/37074378_03_D7.jpg?ts=1660893730082
4954,Leggings london,Leggings efecto piel aberturas,pantalones,https://st.mngbcn.com/rcs/pics/static/T3/fotos/S20/37015129_99_D2.jpg?ts=1655725878209
4955,Leggings london,Leggings efecto piel aberturas,pantalones,https://st.mngbcn.com/rcs/pics/static/T3/fotos/S20/37015129_32_D2.jpg?ts=1663233154882
4956,Jeans newmom,Jeans mom confort tiro alto,vaqueros,https://st.mngbcn.com/rcs/pics/static/T3/fotos/outfit/S20/37057705_TG-99999999_01.jpg?ts=1661507867989
4957,Vestido leona,Vestido animal print,vestidos y monos,https://st.mngbcn.com/rcs/pics/static/T3/fotos/outfit/S20/37033857_99-99999999_01.jpg?ts=1657624000463
4958,Camisa pijama martina,Camisa pijama algodón cuadros,pijamas,https://st.mngbcn.com/rcs/pics/static/T3/fotos/S20/37077712_76_D1.jpg?ts=1659006780939
4959,Anorak slalom,Anorak técnico capucha,abrigos,https://st.mngbcn.com/rcs/pics/static/T3/fotos/outfit/S20/37109204_01-99999999_01.jpg?ts=1658847009773
4968,Pantalon berry,Pantalón tiro alto efecto piel,pantalones,https://st.mngbcn.com/rcs/pics/static/T3/fotos/outfit/S20/37099202_99-99999999_01.jpg?ts=1664294042409
4969,Bota belinda,Bota piel caña alta,zapatos,https://st.mngbcn.com/rcs/pics/static/T3/fotos/outfit/S20/37085146_99-99999999_01.jpg?ts=1661501729390
4970,Mono dona,Mono largo asimétrico,vestidos y monos,https://st.mngbcn.com/rcs/pics/static/T3/fotos/outfit/S20/37063839_99-99999999_01.jpg?ts=1657633769300
4971,Vestido pimenton-a,Vestido fruncido abertura,vestidos y monos,https://st.mngbcn.com/rcs/pics/static/T3/fotos/S20/37037744_27_D2.jpg?ts=1661515042377
